name,color
Northstar Industries,#afa28e
Atlas Corp,#afa28e
Blue Horizon Minerals,#afa28e
Granite Energy,#afa28e
Pioneer Materials,#afa28e
Northstar Minerals,#afa28e
Cobalt Bay Mining,#afa28e
Atlas Energy,#afa28e
Atlas Holdings,#afa28e
Vantage Materials,#afa28e
Cascade Mining,#afa28e
Granite Industries,#afa28e
Golden Peak Industries,#a29486
Sierra Holdings,#afa28e
Frontier Industries,#afa28e
Summit Holdings,#afa28e
Ironclad Holdings,#436d95
Summit Industries,#afa28e
Highland Minerals,#afa28e
Horizon Materials,#afa28e
Summit Materials,#afa28e
Falcon Energy,#afa28e
Cobalt Bay Materials,#afa28e
Amber Metals,#8bb094
Frontier Group,#7fa1bd
Amber Resources,#afa28e
Amber Corp,#afa28e
Vantage Energy,#afa28e
Cascade Materials,#afa28e
Stonebridge Holdings,#afa28e
Blue Horizon Mining,#afa28e
Redwood Metals,#afa28e
Golden Peak Holdings,#afa28e
Amber Energy,#788a98
Pioneer Mining,#afa28e
Ironclad Energy,#afa28e
Copper Creek Group,#afa28e
Pioneer Resources,#afa28e
Ironclad Industries,#afa28e
Silverridge Industries,#afa28e
Cobalt Bay Corp,#afa28e
Frontier Holdings,#afa28e
Frontier Metals,#afa28e
Titan Corp,#afa28e
Silverridge Minerals,#afa28e
Northstar Metals,#afa28e
Titan Resources,#afa28e
Crescent Corp,#afa28e
Pioneer Energy,#afa28e
Blue Horizon Corp,#afa28e
Atlas Materials,#afa28e
Pioneer Industries,#afa28e
Northstar Corp,#afa28e
Ironclad Corp,#afa28e
Redwood Industries,#afa28e
Horizon Energy,#afa28e
Cascade Energy,#afa28e
Cascade Resources,#afa28e
Falcon Materials,#afa28e
Silverridge Group,#afa28e
Atlas Resources,#afa28e
Vantage Metals,#afa28e
Atlas Industries,#afa28e
Sierra Metals,#afa28e
Stonebridge Energy,#afa28e
Meridian Corp,#afa28e
Blue Horizon Group,#afa28e
Titan Holdings,#ddbd5f
Falcon Mining,#d2af6a
Summit Corp,#afa28e
Blue Horizon Resources,#afa28e
Granite Resources,#afa28e
Cobalt Bay Industries,#afa28e
Falcon Minerals,#afa28e
Golden Peak Group,#afa28e
Redwood Holdings,#afa28e
Summit Mining,#afa28e
Granite Mining,#afa28e
Golden Peak Resources,#afa28e
Vantage Mining,#afa28e
Titan Mining,#afa28e
Ironclad Minerals,#afa28e
Sierra Mining,#afa28e
Horizon Minerals,#afa28e
Pioneer Corp,#afa28e
Stonebridge Metals,#afa28e
Horizon Resources,#afa28e
Meridian Mining,#c6b775
Vantage Minerals,#afa28e
Frontier Energy,#afa28e
Atlas Group,#afa28e
Silverridge Mining,#afa28e
Stonebridge Minerals,#afa28e
Northstar Holdings,#afa28e
Highland Resources,#85b7a3
Horizon Industries,#d4a72b
Germany,#c7422b
Argentina,#afa28e
South Korea,#638759
Norway,#afa28e
Vietnam,#833b45
Indonesia,#9b963b
Zambia,#afa28e
Japan,#e2713d
United States,#71442f
Austria,#afa28e
France,#afa28e
Kazakhstan,#4d9889
India,#afa28e
Bolivia,#574a3d
Finland,#afa28e
Poland,#d0846d
Sweden,#d2571e
Morocco,#dfae2a
DR Congo,#7b984c
United Kingdom,#7c7928
Spain,#5daa98
Serbia,#5e8eaf
Italy,#874927
South Africa,#d6a94b
Mexico,#afa28e
Ghana,#905f78
Ireland,#afa28e
Lithium Carbonate,#5f6f7c
Lithium Hydroxide,#b4a388
Spodumene Concentrate,#e4a63f
Lithium Metal,#e05d23
North America,#4b8053
South America,#9f7480
Europe,#c8b174
Asia Pacific,#a89581
Middle East & Africa,#829946
Oceania,#afa28e
RES-1094,#afa28e
Spot Market Spod,#d07c51
RES-1211,#afa28e
RES-1089,#afa28e
RES-1185,#afa28e
RES-1242,#afa28e
RES-1129,#afa28e
RES-1054,#afa28e
RES-1137,#afa28e
RES-1179,#afa28e
RES-1265,#afa28e
RES-1196,#afa28e
RES-1159,#afa28e
RES-1181,#afa28e
RES-1002,#afa28e
RES-1018,#afa28e
RES-1189,#afa28e
RES-1117,#afa28e
RES-1076,#afa28e
RES-1165,#afa28e
