,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,Resource Company,Resource Country,Resource Region,Criteria,Resource Name,Resource SubType,Stage
0,0.0,0.0,0.0,0.27974100031552673,0.7459760008414048,0.8546087559639342,0.8546087559639342,0.8546087559639342,0.8546087559639342,0.8546087559639342,0.8546087559639342,Highland Group,Netherlands,North America,Tier 1 Priority,Highland Park Deposit,Spodumene,Exploration
1,0.0,0.0,0.11314285714285714,0.3017142857142857,0.34565142857142855,0.34565142857142855,0.34565142857142855,0.34565142857142855,0.34565142857142855,0.34565142857142855,0.34565142857142855,Blue Horizon Corp,DR Congo,South America,Tier 1 Priority,Blue Horizon Corp,Spodumene,Exploration
2,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,Frontier Group,Germany,Germany,Tier 2 Priority,Moonlight Basin Prospect,Petalite,Feasibility Study
3,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,0.6546428571428571,Amber Resources,Germany,Germany,Tier 2 Priority,Moonlight Basin Prospect,Petalite,Feasibility Study
4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.5999999999999999,1.833,1.833,1.833,Summit Holdings,Indonesia,Europe,Tier 2 Priority,Rustic Hollow Prospect,Petalite,Permitting
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Summit Mining,Germany,Germany,Tier 1 Priority,Crystal Springs Project,Spodumene,Construction
6,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,1.3092857142857142,Horizon Materials,Germany,Germany,Tier 2 Priority,Green Hollow Deposit,Petalite,Feasibility Study
7,0.6231522178903689,0.6231522178903689,0.6231522178903689,0.6231522178903689,0.6231522178903689,0.6231522178903689,0.6231522178903689,0.6231522178903689,0.6231522178903689,0.6231522178903689,0.6231522178903689,Horizon Energy,Spain,Europe,Tier 2 Priority,Willow Bend Claim,Spodumene,Feasibility Study
8,0.0,0.0,0.0,3.2488102536644132,8.66349400977177,9.925115324944782,9.925115324944782,9.925115324944782,9.925115324944782,9.925115324944782,9.925115324944782,Crescent Energy,Bolivia,Bolivia,Tier 2 Priority,Amber Hills Claim,Spodumene,Exploration
9,0.0,0.0,0.0,0.07896325508906459,0.21056868023750558,0.24123274429709235,0.24123274429709235,0.24123274429709235,0.24123274429709235,0.24123274429709235,0.24123274429709235,Highland Metals,Czech Republic,North America,Tier 1 Priority,Thunder Ridge Prospect,Spodumene,Exploration
10,0.0,0.0,0.0,0.01885496727126698,0.050279912723378624,0.05760192501372064,0.05760192501372064,0.05760192501372064,0.05760192501372064,0.05760192501372064,0.05760192501372064,Highland Metals,Czech Republic,North America,Tier 1 Priority,Cedar Grove Mine,Zinnwaldite,Exploration
11,0.0,0.0,0.0,0.10681020012047386,0.28482720032126363,0.3263051613680476,0.3263051613680476,0.3263051613680476,0.3263051613680476,0.3263051613680476,0.3263051613680476,Vantage Holdings,Czech Republic,North America,Tier 1 Priority,Crystal Springs Claim,Spodumene,Production
12,0.0,0.0,0.8571428571428571,2.2857142857142856,2.6185714285714283,2.6185714285714283,2.6185714285714283,2.6185714285714283,2.6185714285714283,2.6185714285714283,2.6185714285714283,Granite Corp,Germany,Germany,Tier 3 Priority,Sunset Basin Deposit,Brine,Exploration
13,0.0,0.0,0.0,4.450425005019743,11.867800013385985,13.596048390335314,13.596048390335314,13.596048390335314,13.596048390335314,13.596048390335314,13.596048390335314,Amber Mining,China,North America,Tier 2 Priority,Copperhead Mine,Spodumene,Exploration
14,0.0,0.0,0.0,0.04132537504661191,0.11020100012429844,0.12624902076739938,0.12624902076739938,0.12624902076739938,0.12624902076739938,0.12624902076739938,0.12624902076739938,Vantage Holdings,Czech Republic,North America,Tier 1 Priority,Silver Creek Mine,Zinnwaldite,Production
15,0.0,0.0,0.0,0.0,0.46247142857142853,1.233257142857143,1.4128502142857144,1.4128502142857144,1.4128502142857144,1.4128502142857144,1.4128502142857144,Northstar Metals,Japan,Middle East & Africa,Tier 3 Priority,Eagle Point Claim,Petalite,Permitting
16,0.0,1.0632277261992407,2.835273936531309,3.2481607035386806,3.2481607035386806,3.2481607035386806,3.2481607035386806,3.2481607035386806,3.2481607035386806,3.2481607035386806,3.2481607035386806,Cascade Corp,Bolivia,Bolivia,Tier 2 Priority,Amber Hills Mine,Spodumene,Feasibility Study
17,0.0,1.311285938979032,3.496762503944086,4.005978543580942,4.005978543580942,4.005978543580942,4.005978543580942,4.005978543580942,4.005978543580942,4.005978543580942,4.005978543580942,Redwood Group,Bolivia,Bolivia,Tier 2 Priority,Falcon Crest Mine,Spodumene,Feasibility Study
18,0.0,1.311285938979032,3.496762503944086,4.005978543580942,4.005978543580942,4.005978543580942,4.005978543580942,4.005978543580942,4.005978543580942,4.005978543580942,4.005978543580942,Frontier Group,Bolivia,Bolivia,Tier 2 Priority,Falcon Crest Mine,Spodumene,Feasibility Study
19,0.0,0.0,0.0,0.0,0.07542857142857143,0.2011428571428572,0.23043428571428579,0.23043428571428579,0.23043428571428579,0.23043428571428579,0.23043428571428579,Atlas Group,South Korea,South America,Tier 1 Priority,Golden Ridge Project,Clay,Exploration
20,2.6185714285714283,2.6185714285714283,2.6185714285714283,2.6185714285714283,2.6185714285714283,2.6185714285714283,2.6185714285714283,2.6185714285714283,2.6185714285714283,2.6185714285714283,2.6185714285714283,Ironclad Holdings,Indonesia,Europe,Tier 2 Priority,Granite Falls Deposit,Petalite,Feasibility Study
21,0.0,0.0,0.0,0.08571428571428572,0.2285714285714286,0.2618571428571429,0.2618571428571429,0.2618571428571429,0.2618571428571429,0.2618571428571429,0.2618571428571429,Pioneer Resources,Indonesia,Europe,Tier 1 Priority,Blue Mesa Claim,Petalite,Production
22,0.0,3.857142857142857,10.285714285714286,11.78357142857143,11.78357142857143,11.78357142857143,11.78357142857143,11.78357142857143,11.78357142857143,11.78357142857143,11.78357142857143,Titan Holdings,Vietnam,Europe,Tier 2 Priority,Silver Creek Claim,Petalite,Expansion
23,0.49098214285714287,0.49098214285714287,0.49098214285714287,0.49098214285714287,0.49098214285714287,0.49098214285714287,0.49098214285714287,0.49098214285714287,0.49098214285714287,0.49098214285714287,0.49098214285714287,Pioneer Industries,Germany,Germany,Tier 2 Priority,Thunder Ridge Deposit,Spodumene,Feasibility Study
24,1.2464400000000002,1.2464400000000002,1.2464400000000002,1.2464400000000002,1.2464400000000002,1.2464400000000002,1.2464400000000002,1.2464400000000002,1.2464400000000002,1.2464400000000002,1.2464400000000002,Summit Corp,Germany,Germany,Tier 1 Priority,Painted Mesa Project,Spodumene,Feasibility Study
25,0.0,0.0,0.0,0.06574973132416076,0.1753326168644287,0.2008654291953111,0.2008654291953111,0.2008654291953111,0.2008654291953111,0.2008654291953111,0.2008654291953111,Highland Materials,Serbia,Middle East & Africa,Tier 1 Priority,Stone Valley Prospect,Zinnwaldite,Exploration
